objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Seas of Strife","225482","8","5","0","1","0","0","0","0","0","0","0","3","","","","","","133117868","6.45277","7.35626","1.3137","1427","4212","thing","Seas of Strife","3","6","45","45","45","2015","4,5,6","5,6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Seasons","108745","10","32","0","1","0","0","0","0","0","0","0","2","","","","","","75949412","7.14523","7.33413","2.7845","348","31713","thing","Seasons","2","4","60","60","60","2012","2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Seasons of Rice","256705","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","79146223","5.87119","6.78516","1.6522","4082","3458","thing","Seasons of Rice","2","2","20","20","20","2019","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Seasons: Enchanted Kingdom","136233","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","108301497","6.62785","7.76928","2.7","0","9740","thing","Seasons: Enchanted Kingdom","2","4","60","60","60","2013","2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Seasons: Igramul the Banisher","164015","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","108797257","5.59402","7.21367","2.6667","0","589","thing","Seasons: Igramul the Banisher","2","4","60","60","60","2013","2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Seasons: Path of Destiny","148166","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","108656223","6.46014","7.86479","2.6809","0","7602","thing","Seasons: Path of Destiny","2","4","60","60","60","2014","2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Secret Hitler","188834","9","7","0","1","0","0","0","0","0","0","0","3","","","","","","119691304","7.25252","7.48867","1.7413","263","50968","thing","Secret Hitler","5","10","45","45","45","2016","6,7,8,9,10","8,10","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Secret Identity","347112","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","114957805","6.14991","7.29788","1.1724","2411","2472","thing","Secret Identity","3","8","40","40","20","2022","4,5,6,7,8","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Secret Valley","307170","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","110680960","5.77915","7.40103","1.625","5015","881","thing","The Secret Valley","2","4","40","40","30","2021","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Sekigahara: The Unification of Japan","25021","9.5","1","0","1","0","0","0","0","0","0","0","2","","","","","","76583761","7.31266","7.98943","2.798","229","11406","thing","Sekigahara: The Unification of Japan","2","2","180","180","180","2011","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Set & Match","270847","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","101038800","6.19676","7.33735","1.1395","2231","2736","thing","Set & Match","2","4","30","30","15","2017","2,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Shadows in Kyoto","229741","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","81471939","5.93115","6.80546","2.0323","3608","3392","thing","Shadows in Kyoto","2","2","30","30","15","2017","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Shikoku","250781","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","79146340","5.65929","6.55001","1.8182","7209","928","thing","Shikoku","3","8","40","40","30","2018","4,5,6,7,8","5,6","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"SHŌBU","272380","9","8","0","1","0","0","0","0","0","0","0","3","","PnP","","","","90834905","6.43833","7.47068","1.8679","1474","3974","thing","SHŌBU","2","2","30","30","15","2019","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Skull King","150145","8.5","6","0","1","0","0","0","0","0","0","0","3","","","","","","106170496","7.21014","7.52911","1.7382","294","32917","thing","Skull King","2","8","30","30","30","2013","3,4,5,6","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Space Alert","38453","9","4","0","1","0","0","0","0","0","0","0","3","","","","","","134830859","7.10894","7.37751","2.971","376","24017","thing","Space Alert","1","5","30","30","30","2008","3,4,5","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Space Alert: The New Frontier","61492","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135980885","6.44911","8.42347","3.3284","0","5583","thing","Space Alert: The New Frontier","1","5","30","30","30","2010","1,2,3,4,5","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"SPELL","286363","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","96163133","5.64627","7.49756","2.3","7559","439","thing","SPELL","2","2","25","25","15","2020","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Splendor Duel","364073","8.5","5","0","1","0","0","0","0","0","0","0","3","","","","","","134906966","7.55603","7.8789","2.022","112","37331","thing","Splendor Duel","2","2","30","30","30","2022","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sprawlopolis","251658","9","5","0","1","0","0","0","0","0","0","0","3","","","","","","79146250","6.96276","7.26555","1.8032","541","28207","thing","Sprawlopolis","1","4","20","20","15","2018","1,2","1","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Realms","147020","7.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","75939701","7.40035","7.55193","1.9151","174","71173","thing","Star Realms","2","2","20","20","20","2014","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Stellar","293678","9","5","0","1","0","0","0","0","0","0","0","3","","","","","","109461394","6.24665","7.30843","2.1207","2034","4352","thing","Stellar","2","2","30","30","30","2020","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Strike","123570","9","24","0","1","0","0","0","0","0","0","0","3","","","","","","95242729","6.51468","6.98881","1.0241","1281","8468","thing","Strike","2","5","15","15","15","2012","2,3,4,5","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushizock im Gockelwok","37400","7.5","6","0","1","0","0","0","0","0","0","0","3","","","","","","101744783","6.03294","6.51561","1.2194","2981","4379","thing","Sushizock im Gockelwok","2","5","20","20","20","2008","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Taj Mahal","475","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","136353706","6.84802","7.25287","2.8492","690","10140","thing","Taj Mahal","2","5","90","90","45","2000","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Take a Seat","352485","8.5","6","0","1","0","0","0","0","0","0","0","3","","","","","","95519656","5.69331","6.77592","2.25","6399","1212","thing","Take a Seat","1","6","30","30","20","2022","1,2,3,4,5,6","1,3,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tea, Scones, and Arsenic","340646","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111913086","5.52436","6.08813","1.3333","17928","303","thing","Tea, Scones, and Arsenic","1","6","30","30","15","2021","2,4","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Terra de Castells","465134","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","142963575","0","10","0","0","4","thing","Terra de Castells","2","4","60","60","45","2026","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Thingstead","421852","7.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","120129997","5.5511","6.88519","2","13023","331","thing","Thingstead","2","2","45","45","30","2024","2","2","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Tholos","341753","8.5","4","0","1","0","0","0","0","0","0","0","3","","","","","","137273281","5.76794","7.25717","1.8182","5167","817","thing","Tholos","2","2","25","25","15","2021","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tichu","215","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","107013343","7.27686","7.57514","2.3434","249","27521","thing","Tichu","3","10","90","90","30","1991","4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tichu","215","9","5","0","1","0","0","0","0","0","0","0","3","","","","","","122481089","7.27686","7.57514","2.3434","249","27521","thing","Tichu","3","10","90","90","30","2024","4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Maldito Games","Spanish","2024","Maldito Games Spanish edition"
"Ticket to Ride Map Collection 8: Iberia & South Korea","414268","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","140003953","5.89608","7.87061","2","0","2247","thing","Ticket to Ride Map Collection 8: Iberia & South Korea","2","5","60","60","30","2024","2,3,4,5","3","8+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Ticket to Ride: Märklin","21348","9.5","3","0","1","0","0","0","0","0","0","0","3","","","","","","87397538","6.99318","7.40869","2.2433","510","12207","thing","Ticket to Ride: Märklin","2","5","60","60","30","2006","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tides of Madness","195544","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","75940102","6.27033","6.71167","1.4884","1956","8998","thing","Tides of Madness","2","2","20","20","20","2016","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Tier auf Tier: Jetzt geht's rund!","119464","7","3","0","1","0","0","0","0","0","0","0","3","","","","","","110712612","5.60338","6.49332","1.2727","9172","582","thing","Tier auf Tier: Jetzt geht's rund!","2","4","15","15","15","2012","2,3,4","4","5+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Tigris & Euphrates","42","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117610208","7.50693","7.70452","3.4786","131","32350","thing","Tigris & Euphrates","2","4","120","120","60","1997","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Time Bomb","236217","0","9","0","1","0","0","0","0","0","0","0","3","","","","","","120915040","6.25222","7.13378","1.0702","2011","4003","thing","Time Bomb","4","8","30","30","1","2016","5,6,7,8","6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Timebomb","236217","0","9","0","1","0","0","0","0","0","0","0","3","","","","","","121511072","6.25222","7.13378","1.0702","2011","4003","thing","Time Bomb","4","8","30","30","1","2017","5,6,7,8","6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Primigenio","Spanish","2017","Spanish edition"
"TimeBomb Deluxe","236217","8.5","9","0","1","0","0","0","0","0","0","0","3","","","","","","122897082","6.25222","7.13378","1.0702","2011","4003","thing","Time Bomb","4","8","30","30","1","2024","5,6,7,8","6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Primigenio","Spanish","2024","Spanish deluxe edition"
"Tiny Epic Dungeons","331787","8.5","7","0","1","0","0","0","0","0","0","0","3","","","","","","101295654","6.73999","7.44749","3.1075","837","17111","thing","Tiny Epic Dungeons","1","4","60","60","30","2021","1,2,3,4","1,2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tower Up","393307","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","133719057","6.42413","7.34562","1.8553","1508","3495","thing","Tower Up","2","4","45","45","30","2024","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Toy Battle","434654","8.5","10","0","1","0","0","0","0","0","0","0","3","","","","","","132651107","7.03425","7.79206","1.4646","459","9023","thing","Toy Battle","2","2","15","15","15","2025","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tranquility","288513","7.5","5","0","1","0","0","0","0","0","0","0","3","","","","","","113653541","6.37354","6.92216","1.3462","1644","7985","thing","Tranquility","1","5","20","20","15","2020","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Trek 12: Himalaya","303672","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","87226350","6.20424","6.78395","1.4444","2203","5537","thing","Trek 12: Himalaya","1","50","30","30","15","2020","1,2,3,4,5,6,7","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Trekking","392064","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","129432514","5.53286","6.79706","2","15877","132","thing","Trekking","1","4","45","45","45","2024","1,2,3,4","1,2,3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Triad","251722","8","5","0","1","0","0","0","0","0","0","0","3","","PnP","","","","111413359","5.59178","7.25232","2.7143","9787","162","thing","Triad","2","2","20","20","15","2018","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Trio","352515","8","29","0","1","0","0","0","0","0","0","0","3","","","","","","124080381","7.00139","7.38301","1.0798","495","23792","thing","Trio","3","6","15","15","15","2021","3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Truffle Shuffle","298060","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125778574","6.04198","6.84287","1.3793","2938","3590","thing","Truffle Shuffle","2","4","30","30","15","2020","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Turn the Tide","1403","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","100028699","6.38003","6.78886","1.5169","1622","7858","thing","Turn the Tide","3","5","30","30","30","1997","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tzolk'in: The Mayan Calendar","126163","9.5","3","0","1","0","0","0","0","0","0","0","3","","","","","","122267828","7.68346","7.84687","3.6643","72","50245","thing","Tzolk'in: The Mayan Calendar","2","4","90","90","90","2012","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tzolk'in: The Mayan Calendar – Tribes & Prophecies","143065","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122481064","7.17496","8.11481","3.6104","0","14653","thing","Tzolk'in: The Mayan Calendar – Tribes & Prophecies","2","5","90","90","90","2013","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Unánimo","12157","8","27","0","1","0","0","0","0","0","0","0","3","","","","","","106190901","5.98998","7.07226","1.1562","3225","2231","thing","Unanimo","3","8","30","30","30","2021","4,5,6,7,8","6,7,8","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Brain Picnic; Zacatrus","Spanish","2021","Zacatrus Spanish edition"
"Under Falling Skies","306735","7.5","3","0","1","0","0","0","0","0","0","0","3","","","","","","82083360","7.25228","7.59944","2.3983","264","30061","thing","Under Falling Skies","1","1","40","40","20","2020","1","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Unearth","217085","6.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","75940135","6.36175","6.80962","1.9344","1670","10508","thing","Unearth","2","4","60","60","30","2017","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Unmatched Adventures: Tales to Amaze","381297","9","9","0","1","0","0","0","0","0","0","0","3","","","","","","124943749","6.99749","7.94672","2.3289","502","11962","thing","Unmatched Adventures: Tales to Amaze","1","4","60","60","20","2023","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unmatched Game System","295564","0","20","0","1","0","0","0","0","0","0","0","3","","","","","","125936407","6.94027","8.23133","1.9753","566","3029","thing","Unmatched Game System","2","4","40","40","20","2019","2,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Unmatched: Battle of Legends, Volume One","274637","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","124943763","7.21081","7.6798","1.9406","293","21445","thing","Unmatched: Battle of Legends, Volume One","2","4","40","40","20","2019","2,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Unmatched: Brains and Brawn","383467","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","124194061","6.27729","8.25633","2.1818","1935","4628","thing","Unmatched: Brains and Brawn","2","3","40","40","20","2023","2,3","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unmatched: Buffy the Vampire Slayer","315060","7.5","7","0","1","0","0","0","0","0","0","0","3","","","","","","88635979","6.16399","7.52611","2.0833","2346","4181","thing","Unmatched: Buffy the Vampire Slayer","2","4","40","40","20","2020","2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unmatched: Cobble & Fog","294484","8","8","0","1","0","0","0","0","0","0","0","3","","","","","","94211820","7.37222","7.92568","1.9658","191","22055","thing","Unmatched: Cobble & Fog","2","4","40","40","20","2020","2,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Unmatched: For King and Country","326937","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143770578","6.1834","8.18756","2.5714","2289","4212","thing","Unmatched: For King and Country","2","3","40","40","20","2023","2,3","2","12","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unmatched: Houdini vs. The Genie","354544","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","139362820","6.65939","8.20755","2.2667","981","7564","thing","Unmatched: Houdini vs. The Genie","2","2","20","20","20","2022","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Unmatched: Robin Hood vs. Bigfoot","274638","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125750667","7.06827","7.89895","1.9375","421","13306","thing","Unmatched: Robin Hood vs. Bigfoot","2","2","20","20","20","2019","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Unmatched: Slings and Arrows","415945","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","136822910","6.37343","8.39544","2.5","1645","4591","thing","Unmatched: Slings and Arrows","2","4","40","40","20","2024","2,4","2,4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unmatched: Sun's Origin","383469","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","139362828","6.2903","8.26761","2","1882","4331","thing","Unmatched: Sun's Origin","2","2","40","40","20","2024","2","2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Unmatched: The Witcher – Realms Fall","411861","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","136738196","5.99362","8.50629","2.375","3196","2853","thing","Unmatched: The Witcher – Realms Fall","2","3","40","40","20","2025","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Unmatched: The Witcher – Steel and Silver","411860","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","123809480","6.07552","8.40188","2.3333","2761","3293","thing","Unmatched: The Witcher – Steel and Silver","2","3","40","40","20","2025","2,3","2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Unreliable Wizard","363503","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","109944217","5.67111","6.50067","1.8235","6912","1647","thing","Unreliable Wizard","1","1","15","15","15","2022","1","1","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Unreliable Wizard and the Unstable Spirit Towers","381095","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117205657","5.52319","6.24468","2.3333","0","967","thing","Unreliable Wizard and the Unstable Spirit Towers","1","1","25","25","15","2022","1","1","14+","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Voynich Puzzle","439983","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","137392344","5.87819","7.38083","3.8451","4017","1736","thing","The Voynich Puzzle","1","4","120","120","90","2025","2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"War Chest","249259","8.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","112459053","7.38916","7.82362","2.3206","182","18158","thing","War Chest","2","4","30","30","30","2018","2,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"War of the Ring: Second Edition","115746","9.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","75949395","8.19765","8.55216","4.2227","8","41238","thing","War of the Ring: Second Edition","2","4","240","240","150","2011","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Waterfall Park","396618","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","127065601","5.99106","7.03315","1.9545","3212","2849","thing","Waterfall Park","3","5","45","45","45","2023","4,5","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Wavelength","262543","9","6","0","1","0","0","0","0","0","0","0","3","","","","","","79386849","6.97437","7.2009","1.1131","526","32448","thing","Wavelength","2","12","45","45","30","2019","4,5,6,7,8,9,10,11,12","6,8","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The White Castle","371942","9","6","0","1","0","0","0","0","0","0","0","3","","","","","","117141632","7.68209","7.97982","3.0504","74","38860","thing","The White Castle","1","4","80","80","80","2023","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The White Castle: Matcha","420321","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119026910","6.81994","8.39589","3.2692","0","10341","thing","The White Castle: Matcha","1","4","110","110","90","2024","1,2,3,4","2,3","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Wild Space","298371","8","8","2","1","0","0","0","0","0","0","0","3","","","","","","99355533","6.44204","7.13148","2.0816","1458","6489","thing","Wild Space","1","5","40","40","15","2020","1,2,3,4","2,3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Wild Space: Encounters","329006","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","131590007","5.66319","7.5607","2.5","0","984","thing","Wild Space: Encounters","1","5","40","40","15","2021","2,3","3","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Wild Space: Space Base","318352","6.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","131898414","5.55198","7.57692","2","0","263","thing","Wild Space: Space Base","1","5","40","40","15","2020","1,2,3,4","1,3","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Wingspan","266192","8.5","6","0","1","0","0","0","0","0","0","0","2","","","","","","75940225","7.8487","8.00153","2.4802","38","178904","thing","Wingspan","1","5","70","70","40","2019","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Wingspan Asia","366161","8.5","4","0","1","0","0","0","0","0","0","0","3","","","","","","98426556","7.62577","8.21933","2.6479","89","34092","thing","Wingspan Asia","1","2","70","70","40","2022","1,2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Wingspan: European Expansion","290448","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","82848498","7.92491","8.32644","2.433","0","61386","thing","Wingspan: European Expansion","1","5","70","70","40","2019","1,2,3,4,5","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Wingspan: Oceania Expansion","300580","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","79321307","7.91867","8.44917","2.6684","0","50102","thing","Wingspan: Oceania Expansion","1","5","70","70","40","2020","1,2,3,4,5","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Winston: Nineteen Eighty-Four","421496","7.5","4","0","1","0","0","0","0","0","0","0","3","","","","","","121091780","5.55063","7.03471","2.2222","13080","193","thing","Winston: Nineteen Eighty-Four","1","1","15","15","15","2024","1","1","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Wir sind das Volk!","165401","9","2","0","1","0","0","0","0","0","0","0","3","","","","","","99260852","6.7196","7.7606","3.7379","871","4887","thing","Wir sind das Volk!","2","2","150","150","60","2014","2","2","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Witchcraft!","383499","9","8","0","1","0","0","0","0","0","0","0","3","","","","","","105325323","6.55","7.64152","2.4559","1193","7334","thing","Witchcraft!","1","1","40","40","20","2023","1","1","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Witchstone","318560","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","90002670","6.74281","7.49438","2.7746","834","7498","thing","Witchstone","2","4","90","90","60","2021","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Witchstone: Full Moon","353890","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141411738","5.60228","7.02418","3","0","1570","thing","Witchstone: Full Moon","2","4","90","90","60","2023","","","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Yokai Pagoda","394127","8","5","0","1","0","0","0","0","0","0","0","3","","","","","","117770170","6.05124","7.53798","1.3333","2892","2028","thing","Yokai Pagoda","2","5","15","15","10","2023","2,3,4,5","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Zooloretto","27588","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","111361197","6.58708","6.78411","1.857","1119","20346","thing","Zooloretto","2","5","45","45","45","2007","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
